code,n_rows_total,n_turbines_seen,first_seen,last_seen,years_seen,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,median_duration_s,share_rows_with_TimeOff,is_documented,description,stopping
3172,2278,21,2016-02-01 14:30:24,2026-04-29 11:23:00,2016-2026,108,130,316,251,245,236,249,210,269,216,48,331.0,1.0,0,,
3173,2258,21,2016-02-01 14:32:04,2026-04-29 11:23:00,2016-2026,121,145,309,229,251,275,232,179,270,198,49,311.0,0.9996,0,,
3174,5,4,2018-02-23 02:40:17,2021-08-24 06:33:04,2018;2019;2021,0,0,3,1,0,1,0,0,0,0,0,538.0,1.0,0,,
3185,202,17,2016-04-22 09:43:53,2026-02-10 13:29:35,2016;2017;2018;2019;2020;2021;2022;2024;2025;2026,3,40,49,24,32,23,17,0,8,1,5,51.0,1.0,0,,
3186,92,11,2016-07-01 07:01:14,2023-05-30 15:30:03,2016-2023,3,20,16,8,14,19,11,1,0,0,0,139.5,1.0,0,,
3187,96,10,2016-03-10 14:09:56,2022-07-10 20:24:51,2016;2017;2018;2020;2021;2022,4,20,16,0,1,42,13,0,0,0,0,97.5,1.0,0,,
3193,5,3,2018-06-09 21:05:50,2023-11-06 06:01:00,2018;2022;2023,0,0,1,0,0,0,2,2,0,0,0,6136.0,1.0,0,,
3194,9,3,2018-06-25 01:07:06,2024-09-18 06:07:59,2018;2022;2023;2024,0,0,1,0,0,0,4,2,2,0,0,29476.0,1.0,0,,
3195,7,6,2018-06-13 02:54:40,2024-09-18 04:35:27,2018;2020;2022;2023;2024,0,0,2,0,1,0,2,1,1,0,0,33192.0,1.0,0,,
3200,15,4,2021-03-30 11:14:20,2022-08-22 12:47:41,2021-2022,0,0,0,0,0,5,10,0,0,0,0,3624.5,0.9333,0,,
3203,1435,21,2016-03-01 11:29:55,2026-04-30 10:55:50,2016-2026,93,110,179,177,214,159,184,130,91,79,19,2260.5,0.9993,0,,
3204,1437,21,2016-03-01 11:29:55,2026-04-30 10:55:12,2016-2026,95,112,177,173,217,159,184,130,89,82,19,2249.0,0.9993,0,,
3205,1432,21,2016-03-04 09:47:45,2026-04-30 10:59:42,2016-2026,95,114,177,177,213,159,179,132,89,80,17,2229.0,0.9993,0,,
3206,131,21,2016-03-10 13:17:53,2024-01-10 09:36:51,2016;2017;2018;2019;2020;2021;2022;2024,46,17,4,7,17,6,33,0,1,0,0,403.0,1.0,0,,
3207,160,20,2016-03-29 09:35:14,2023-05-29 07:58:20,2016-2023,42,9,7,23,14,20,42,3,0,0,0,532.5,1.0,0,,
3208,133,21,2016-04-13 09:29:57,2023-07-21 13:17:58,2016-2023,40,9,8,16,19,6,34,1,0,0,0,430.0,1.0,0,,
3215,82,18,2016-03-29 09:35:14,2022-11-14 11:05:23,2016-2022,42,2,2,1,3,4,28,0,0,0,0,126.0,1.0,0,,
3216,3,1,2020-11-22 12:07:41,2020-12-22 17:07:57,2020,0,0,0,0,3,0,0,0,0,0,0,4547.0,1.0,0,,
3217,3,1,2020-11-27 12:07:46,2020-12-27 17:07:54,2020,0,0,0,0,3,0,0,0,0,0,0,74991.0,1.0,0,,
3218,32,3,2018-03-18 22:12:13,2024-01-28 21:54:45,2018-2024,0,0,9,12,2,1,4,2,2,0,0,2844.0,1.0,0,,
3219,5,3,2017-02-18 09:59:59,2023-07-03 13:58:59,2017;2021;2023,0,1,0,0,0,1,0,3,0,0,0,44047.0,1.0,0,,
3220,313,12,2017-02-18 09:59:59,2025-10-03 20:54:18,2017;2018;2019;2020;2021;2023;2024;2025,0,6,43,163,33,64,0,2,1,1,0,3583.0,1.0,0,,
3221,3,3,2018-04-13 13:43:19,2025-08-06 12:09:00,2018;2022;2025,0,0,1,0,0,0,1,0,0,1,0,2602.0,1.0,0,,
3222,1,1,2018-05-13 10:06:32,2018-05-13 10:06:32,2018,0,0,1,0,0,0,0,0,0,0,0,10790.0,1.0,0,,
3223,3,2,2021-04-20 07:55:34,2023-04-29 15:58:07,2021;2023,0,0,0,0,0,2,0,1,0,0,0,476.0,1.0,0,,
