variant_id,variant_type,n_slots_flipped,flips_applied,messages_flipped,n_events,E_mwh,unwarned_pct_E,short_lead_pct_E,actionable_unacted_pct_E,warned_pct_E,warned_n_events,warned_E_mwh,actionable_n_events,actionable_E_mwh,converter_n_events,converter_E_mwh,converter_same_warned_pct_E,converter_same_warned_n,big_event_bucket,big_event_same_warn,big_event_lead_h,big_event_same_n,delta_actionable_pp,rationale_quotes,is_frozen,is_adverse_joint,is_max_joint
joint_5slots,joint,5,brake_resistor_chp:pitch->converter|cms_drivetrain:comms->drivetrain|current_asymmetry:converter->generator|no_speed_development:control->brake_hydraulic|cable_overload:converter->electrical,warning:Error brake resistor CHP->converter|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain|stop:Current asymmetry->generator|stop:No speed development->brake_hydraulic|warning:Cable overload->electrical,4213,9386.501584975991,83.84518787673697,8.430200390035766,7.7246117332272854,16.15481212326305,1008,1516.3716959999797,711,725.0708027726205,946,1696.3201041110958,2.4743689765659806,16,actionable_unacted,True,20.788888888888888,2,0.19644223937197758,,False,False,False
joint_5slots,joint,5,brake_resistor_chp:pitch->converter|cms_drivetrain:comms->drivetrain|current_asymmetry:converter->generator|no_speed_development:control->brake_hydraulic|high_yaw_load:yaw->external,warning:Error brake resistor CHP->converter|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain|stop:Current asymmetry->generator|stop:No speed development->brake_hydraulic|stop:High yaw load->external,4213,9386.501584975991,83.84518787673697,8.430200390035766,7.7246117332272854,16.15481212326305,1008,1516.3716959999797,711,725.0708027726205,946,1696.3201041110958,2.4743689765659806,16,actionable_unacted,True,20.788888888888888,2,0.19644223937197758,,False,False,False
joint_6slots,joint,6,brake_resistor_chp:pitch->converter|cms_drivetrain:comms->drivetrain|current_asymmetry:converter->generator|no_speed_development:control->brake_hydraulic|high_yaw_load:yaw->external|cable_overload:converter->electrical,warning:Error brake resistor CHP->converter|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain|stop:Current asymmetry->generator|stop:No speed development->brake_hydraulic|stop:High yaw load->external|warning:Cable overload->electrical,4213,9386.501584975991,83.84518787673697,8.430200390035766,7.7246117332272854,16.15481212326305,1008,1516.3716959999797,711,725.0708027726205,946,1696.3201041110958,2.4743689765659806,16,actionable_unacted,True,20.788888888888888,2,0.19644223937197758,,False,False,False
joint_4slots,joint,4,brake_resistor_chp:pitch->converter|cms_drivetrain:comms->drivetrain|current_asymmetry:converter->generator|wec_shut_down:control->manual,warning:Error brake resistor CHP->converter|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain|stop:Current asymmetry->generator|stop:WEC shut down->manual,4213,9386.501584975991,86.22573453986917,8.428677258386204,5.345588201744649,13.774265460130852,1003,1292.921645733983,707,501.76372128305104,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.182581292110659,,False,False,False
joint_5slots,joint,5,brake_resistor_chp:pitch->converter|cms_drivetrain:comms->drivetrain|current_asymmetry:converter->generator|wec_shut_down:control->manual|cable_overload:converter->electrical,warning:Error brake resistor CHP->converter|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain|stop:Current asymmetry->generator|stop:WEC shut down->manual|warning:Cable overload->electrical,4213,9386.501584975991,86.22573453986917,8.428677258386204,5.345588201744649,13.774265460130852,1003,1292.921645733983,707,501.76372128305104,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.182581292110659,,False,False,False
joint_5slots,joint,5,brake_resistor_chp:pitch->converter|cms_drivetrain:comms->drivetrain|current_asymmetry:converter->generator|wec_shut_down:control->manual|high_yaw_load:yaw->external,warning:Error brake resistor CHP->converter|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:High yaw load->external,4213,9386.501584975991,86.22573453986917,8.428677258386204,5.345588201744649,13.774265460130852,1003,1292.921645733983,707,501.76372128305104,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.182581292110659,,False,False,False
joint_6slots,joint,6,brake_resistor_chp:pitch->converter|cms_drivetrain:comms->drivetrain|current_asymmetry:converter->generator|wec_shut_down:control->manual|high_yaw_load:yaw->external|cable_overload:converter->electrical,warning:Error brake resistor CHP->converter|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:High yaw load->external|warning:Cable overload->electrical,4213,9386.501584975991,86.22573453986917,8.428677258386204,5.345588201744649,13.774265460130852,1003,1292.921645733983,707,501.76372128305104,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.182581292110659,,False,False,False
joint_5slots,joint,5,brake_resistor_chp:pitch->converter|cms_drivetrain:comms->drivetrain|current_asymmetry:converter->generator|wec_shut_down:control->manual|no_speed_development:control->pitch,warning:Error brake resistor CHP->converter|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:No speed development->pitch,4213,9386.501584975991,86.14074018695601,8.428677258386204,5.430582554657804,13.859259813044007,1004,1300.8996420173164,708,509.74171756638447,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.0975869391975035,,False,False,False
joint_6slots,joint,6,brake_resistor_chp:pitch->converter|cms_drivetrain:comms->drivetrain|current_asymmetry:converter->generator|wec_shut_down:control->manual|no_speed_development:control->pitch|cable_overload:converter->electrical,warning:Error brake resistor CHP->converter|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:No speed development->pitch|warning:Cable overload->electrical,4213,9386.501584975991,86.14074018695601,8.428677258386204,5.430582554657804,13.859259813044007,1004,1300.8996420173164,708,509.74171756638447,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.0975869391975035,,False,False,False
joint_6slots,joint,6,brake_resistor_chp:pitch->converter|cms_drivetrain:comms->drivetrain|current_asymmetry:converter->generator|wec_shut_down:control->manual|no_speed_development:control->pitch|high_yaw_load:yaw->external,warning:Error brake resistor CHP->converter|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:No speed development->pitch|stop:High yaw load->external,4213,9386.501584975991,86.14074018695601,8.428677258386204,5.430582554657804,13.859259813044007,1004,1300.8996420173164,708,509.74171756638447,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.0975869391975035,,False,False,False
joint_7slots,joint,7,brake_resistor_chp:pitch->converter|cms_drivetrain:comms->drivetrain|current_asymmetry:converter->generator|wec_shut_down:control->manual|no_speed_development:control->pitch|high_yaw_load:yaw->external|cable_overload:converter->electrical,warning:Error brake resistor CHP->converter|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:No speed development->pitch|stop:High yaw load->external|warning:Cable overload->electrical,4213,9386.501584975991,86.14074018695601,8.428677258386204,5.430582554657804,13.859259813044007,1004,1300.8996420173164,708,509.74171756638447,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.0975869391975035,,False,False,False
joint_5slots,joint,5,brake_resistor_chp:pitch->converter|cms_drivetrain:comms->drivetrain|current_asymmetry:converter->generator|wec_shut_down:control->manual|no_speed_development:control->brake_hydraulic,warning:Error brake resistor CHP->converter|warning:Comm.err. IEC server <- CMS drive tr.->drivetrain|warning:Comm.err. IEC client -> CMS drive tr.->drivetrain|warning:CMS drive train system error->drivetrain|stop:Current asymmetry->generator|stop:WEC shut down->manual|stop:No speed development->brake_hydraulic,4213,9386.501584975991,86.13605780303668,8.430200390035766,5.433741806927585,13.86394219696335,1006,1301.3391540581201,709,510.0382608307608,946,1696.3201041110958,2.4743689765659806,16,unwarned,False,,0,-2.094427686927723,,False,False,False
