event_id,farm,turbine,start,duration_h,lost_energy_mwh,planned_charge_mwh_p50,planned_charge_mwh_p75,recoverable_mwh_p50,recoverable_mwh_p75,clipped_p50,clipped_p75,zero_energy
632,kelmarsh,K04,2023-07-29 06:30:00,0.94,0.0,0.0,0.0,0.0,0.0,False,False,True
633,kelmarsh,K04,2023-07-30 18:14:02,0.439444,0.044203,0.299374,0.767445,0.0,0.0,True,True,False
634,kelmarsh,K04,2023-08-02 01:24:28,0.043333,0.0,0.0,0.0,0.0,0.0,False,False,True
635,kelmarsh,K04,2023-08-02 01:28:22,0.036389,0.042091,0.362926,0.93036,0.0,0.0,True,True,False
636,kelmarsh,K04,2023-08-02 21:14:48,0.555278,0.0,0.0,0.0,0.0,0.0,False,False,True
637,kelmarsh,K04,2023-08-05 06:09:01,0.174167,0.0,0.0,0.0,0.0,0.0,False,False,True
640,kelmarsh,K04,2023-08-30 14:26:37,4.335278,3.110423,0.56835,1.456964,2.542073,1.653459,False,False,False
659,kelmarsh,K04,2024-03-18 05:44:02,8.058889,3.354061,0.331971,0.851006,3.022091,2.503056,False,False,False
759,kelmarsh,K05,2022-02-17 01:45:51,0.095556,0.223004,1.618854,4.149929,0.0,0.0,True,True,False
767,kelmarsh,K05,2022-03-07 21:07:06,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
768,kelmarsh,K05,2022-03-07 21:11:10,0.459167,0.0,0.0,0.0,0.0,0.0,False,False,True
786,kelmarsh,K05,2023-01-05 07:52:50,0.151667,0.052795,0.381718,0.978534,0.0,0.0,True,True,False
787,kelmarsh,K05,2023-01-06 17:16:30,0.029722,0.0,0.0,0.0,0.0,0.0,False,False,True
789,kelmarsh,K05,2023-02-01 16:19:57,0.032778,0.034325,0.260105,0.666778,0.0,0.0,True,True,False
790,kelmarsh,K05,2023-02-02 04:01:31,0.071667,0.0,0.0,0.0,0.0,0.0,False,False,True
791,kelmarsh,K05,2023-02-02 05:39:05,0.030278,0.021556,0.25321,0.649103,0.0,0.0,True,True,False
792,kelmarsh,K05,2023-02-02 12:00:43,0.03,0.0,0.0,0.0,0.0,0.0,False,False,True
793,kelmarsh,K05,2023-02-02 13:02:59,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
794,kelmarsh,K05,2023-02-02 16:28:37,0.030278,0.096226,0.792507,2.03159,0.0,0.0,True,True,False
795,kelmarsh,K05,2023-02-03 10:38:30,0.030278,0.028876,0.246199,0.631132,0.0,0.0,True,True,False
796,kelmarsh,K05,2023-02-03 14:02:51,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
797,kelmarsh,K05,2023-02-03 17:08:55,0.109444,0.0,0.0,0.0,0.0,0.0,False,False,True
798,kelmarsh,K05,2023-02-03 19:18:04,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
799,kelmarsh,K05,2023-02-03 20:24:36,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
800,kelmarsh,K05,2023-02-03 21:33:02,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
801,kelmarsh,K05,2023-02-04 00:47:43,0.031389,0.0,0.0,0.0,0.0,0.0,False,False,True
802,kelmarsh,K05,2023-02-04 01:50:19,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
803,kelmarsh,K05,2023-02-04 02:52:14,0.292778,0.0,0.0,0.0,0.0,0.0,False,False,True
804,kelmarsh,K05,2023-02-04 03:54:19,0.058056,0.0,0.0,0.0,0.0,0.0,False,False,True
805,kelmarsh,K05,2023-02-04 04:58:37,0.030278,0.080601,0.54061,1.385854,0.0,0.0,True,True,False
806,kelmarsh,K05,2023-02-04 08:05:08,0.237778,0.042679,0.202762,0.519779,0.0,0.0,True,True,False
807,kelmarsh,K05,2023-02-04 11:22:41,0.032778,0.0,0.0,0.0,0.0,0.0,False,False,True
808,kelmarsh,K05,2023-02-04 14:35:03,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
809,kelmarsh,K05,2023-02-04 16:38:38,0.030278,0.013083,0.112777,0.289103,0.0,0.0,True,True,False
810,kelmarsh,K05,2023-02-04 17:40:54,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
811,kelmarsh,K05,2023-02-04 18:43:28,0.251389,0.0,0.0,0.0,0.0,0.0,False,False,True
812,kelmarsh,K05,2023-02-04 19:45:08,0.033333,0.0,0.0,0.0,0.0,0.0,False,False,True
813,kelmarsh,K05,2023-02-04 23:18:53,0.030278,0.045144,0.348367,0.893037,0.0,0.0,True,True,False
814,kelmarsh,K05,2023-02-05 23:14:45,0.025278,0.0,0.0,0.0,0.0,0.0,False,False,True
815,kelmarsh,K05,2023-02-06 00:36:13,0.018889,0.0,0.0,0.0,0.0,0.0,False,False,True
816,kelmarsh,K05,2023-02-06 00:41:54,0.019444,0.0,0.0,0.0,0.0,0.0,False,False,True
817,kelmarsh,K05,2023-02-06 14:56:46,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
818,kelmarsh,K05,2023-02-06 19:12:39,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
819,kelmarsh,K05,2023-02-07 16:06:45,0.025278,0.0,0.0,0.0,0.0,0.0,False,False,True
820,kelmarsh,K05,2023-02-10 14:32:42,0.039444,0.0,0.0,0.0,0.0,0.0,False,False,True
821,kelmarsh,K05,2023-02-10 15:35:40,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
822,kelmarsh,K05,2023-02-10 22:55:22,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
823,kelmarsh,K05,2023-02-10 23:57:10,0.036667,0.0,0.0,0.0,0.0,0.0,False,False,True
824,kelmarsh,K05,2023-02-11 00:59:12,0.030278,0.006254,0.097457,0.249832,0.0,0.0,True,True,False
825,kelmarsh,K05,2023-02-11 02:00:37,0.073056,0.0,0.0,0.0,0.0,0.0,False,False,True
826,kelmarsh,K05,2023-02-11 03:05:43,0.304444,0.003384,0.020301,0.052042,0.0,0.0,True,True,False
827,kelmarsh,K05,2023-02-11 04:09:06,0.036667,0.030573,0.246175,0.631068,0.0,0.0,True,True,False
828,kelmarsh,K05,2023-02-11 05:12:05,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
829,kelmarsh,K05,2023-02-11 07:15:52,1.412778,0.357367,0.195746,0.501793,0.161621,0.0,False,True,False
830,kelmarsh,K05,2023-02-11 09:20:44,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
831,kelmarsh,K05,2023-02-11 23:32:09,0.465556,0.0,0.0,0.0,0.0,0.0,False,False,True
832,kelmarsh,K05,2023-02-12 01:20:24,0.018333,0.0,0.0,0.0,0.0,0.0,False,False,True
833,kelmarsh,K05,2023-02-12 20:45:56,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
834,kelmarsh,K05,2023-02-12 23:51:30,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
835,kelmarsh,K05,2023-02-13 16:58:11,0.030278,0.015468,0.138329,0.354607,0.0,0.0,True,True,False
836,kelmarsh,K05,2023-02-13 20:03:53,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
837,kelmarsh,K05,2023-02-13 21:06:23,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
838,kelmarsh,K05,2023-02-14 17:01:44,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
839,kelmarsh,K05,2023-02-14 22:11:31,1.145556,0.002647,0.014952,0.038331,0.0,0.0,True,True,False
840,kelmarsh,K05,2023-02-15 02:25:15,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
