rule,weight,T_act_h,actionable_unacted,short_lead,unwarned,ci_lo,ci_hi,is_reference,ref_label,beyond_lookback,reps,seed,n_turbines,n_events
any,energy,72.0,0.0,0.47097470060574115,0.5290252993942588,0.0,0.0,False,,False,2000,20260903,20,4213
any,energy,167.2878133255,0.0,0.47097470060574115,0.5290252993942588,0.0,0.0,True,duration p75 (E),True,2000,20260903,20,4213
same,count,0.5,0.1906005221932115,0.04177545691906004,0.7676240208877285,0.11245388967156651,0.2662563664439044,False,,False,2000,20260903,20,4213
same,count,0.5679533066,0.18988844054118206,0.04248753857108947,0.7676240208877285,0.11204090504127284,0.2648331954522073,False,,False,2000,20260903,20,4213
same,count,0.645141917,0.18988844054118206,0.04248753857108947,0.7676240208877285,0.11204090504127284,0.2648331954522073,False,,False,2000,20260903,20,4213
same,count,0.73282097,0.18917635888915263,0.043199620223118906,0.7676240208877285,0.11160523216084017,0.26396529563406457,False,,False,2000,20260903,20,4213
same,count,0.8324161861,0.18893899833847613,0.0434369807737954,0.7676240208877285,0.11139961274532993,0.2638140824024908,False,,False,2000,20260903,20,4213
same,count,0.9455470507,0.18775219558509376,0.044623783527177774,0.7676240208877285,0.10970505586101506,0.26294607875853654,False,,False,2000,20260903,20,4213
same,count,1.074053148,0.1863280322810349,0.04604794683123664,0.7676240208877285,0.1092473289173125,0.2615201161463201,False,,False,2000,20260903,20,4213
same,count,1.2200240738,0.18609067173035843,0.04628530738191311,0.7676240208877285,0.10896394765705586,0.2614532024482356,False,,False,2000,20260903,20,4213
same,count,1.3858334137,0.18490386897697603,0.04747211013529551,0.7676240208877285,0.10784476193111506,0.2609066835823833,False,,False,2000,20260903,20,4213
same,count,1.5741773394,0.18371706622359363,0.04865891288867791,0.7676240208877285,0.1064892038033199,0.2599564335982436,False,,False,2000,20260903,20,4213
same,count,1.7881184502,0.18276762402088773,0.04960835509138381,0.7676240208877285,0.10515685993443838,0.2586843913868919,False,,False,2000,20260903,20,4213
same,count,2.0311355728,0.18039401851412296,0.05198196059814858,0.7676240208877285,0.10329703238847567,0.2557408825873489,False,,False,2000,20260903,20,4213
same,count,2.3071803295,0.17802041300735819,0.05435556610491335,0.7676240208877285,0.10175081317748491,0.252686227716799,False,,False,2000,20260903,20,4213
same,count,2.6207413942,0.1768336102539758,0.05554236885829575,0.7676240208877285,0.10058377019944206,0.2515274610255251,False,,False,2000,20260903,20,4213
