tier,tier_variant,rule,lookback_h,T_act_h,planned_duration,planned_duration_h,n_actionable_events,E_actionable_mwh,E_planned_mwh,recoverable_mwh,recoverable_pct_of_gross,recoverable_pct_of_tier_E,recoverable_pct_of_actionable_E,n_events_clipped_at_zero,mwh_clipped_away
T1,primary,same,72,24,p75,2.0297916666666667,600,305.6533869900689,218.96885971106758,262.8531255327606,0.030369177301751836,2.245036620888764,85.99712508381302,113,-176.16859825375934
T1,primary,any,72,1,median,0.7918055555555555,2286,4568.56378504816,1061.2325453300637,4078.2300718151437,0.47118516044753633,34.83228834002845,89.26722409266203,841,-570.8988320970473
T1,primary,any,72,1,p75,2.0297916666666667,2286,4568.56378504816,2720.467116948994,3803.789085876104,0.43947716023274913,32.488279447392436,83.26006300546827,943,-1955.6924177769374
T1,primary,any,72,6,median,0.7918055555555555,1947,3880.3802212994624,887.4400228841471,3477.7494598834046,0.4018076244830779,29.703564984778,89.62393532453311,701,-484.80926146808935
T1,primary,any,72,6,p75,2.0297916666666667,1947,3880.3802212994624,2274.9503972005555,3254.1869834254694,0.3759779583080658,27.79411100477542,83.86258041320772,783,-1648.757159326563
T1,primary,any,72,24,median,0.7918055555555555,1583,2884.2049786825282,696.3166805529158,2580.607400002325,0.29815480990776994,22.041047088175794,89.4737863319658,569,-392.71910187271317
T1,primary,any,72,24,p75,2.0297916666666667,1583,2884.2049786825282,1785.006161715592,2422.6395342156966,0.2799037272381993,20.691838693199255,83.99678774988907,621,-1323.4407172487608
T2,primary,same,72,1,median,0.7918055555555555,791,1135.7896064311844,127.52220456066047,1082.222394678301,0.12503638188550095,11.529560666249749,95.28370294554823,141,-73.95499280777739
T2,primary,same,72,1,p75,2.0297916666666667,791,1135.7896064311844,326.90286941795694,1044.0489322651483,0.12062594679595394,11.122876002452822,91.92274047529818,154,-235.16219525192082
T2,primary,same,72,6,median,0.7918055555555555,698,706.6317488604076,105.48654322474235,666.4309923935815,0.07699722393013977,7.099886857317205,94.31093259938316,124,-65.28578675791621
T2,primary,same,72,6,p75,2.0297916666666667,698,706.6317488604076,270.4145037639006,639.2288003851877,0.07385437299228303,6.810085680998931,90.4613755914702,132,-203.01155528868054
T2,primary,same,72,24,median,0.7918055555555555,600,305.6533869900689,85.4180074044816,277.113168519776,0.03201673531699521,2.9522518694645785,90.66255448652359,110,-56.87778893418877
T2,primary,same,72,24,p75,2.0297916666666667,600,305.6533869900689,218.96885971106758,262.8531255327606,0.030369177301751836,2.8003311260659944,85.99712508381302,113,-176.16859825375934
T2,primary,any,72,1,median,0.7918055555555555,2155,3874.550599381782,994.4953545158455,3441.094972661928,0.3975726867433131,36.66003719820103,88.81275090873724,814,-561.0397277959914
T2,primary,any,72,1,p75,2.0297916666666667,2155,3874.550599381782,2549.386486330789,3218.403535785903,0.3718436575892467,34.287572495990105,83.06520855088142,898,-1893.2394227349093
T2,primary,any,72,6,median,0.7918055555555555,1823,3222.5205316020224,824.9138000354297,2872.9613724898,0.33193241710703086,30.607371090079546,89.15261654086514,676,-475.3546409232071
T2,primary,any,72,6,p75,2.0297916666666667,1823,3222.5205316020224,2114.6645729903153,2698.3129131898295,0.3117541140520134,28.746736883406506,83.73299368393499,741,-1590.4569545781226
T2,primary,any,72,24,median,0.7918055555555555,1492,2595.2948050917867,648.631372554916,2331.49186856221,0.26937282861083434,24.838773503154673,89.83533832025503,547,-384.82843602533876
T2,primary,any,72,24,p75,2.0297916666666667,1492,2595.2948050917867,1662.764987581796,2206.9576808582297,0.2549845620880516,23.512036522645243,85.03687814302765,587,-1274.4278633482386
