population,rule,hours_before_lo,hours_before_hi,n_warnings,n_anchors,rate_per_anchor_hour
events_warned,any,16,17,369,2652,0.13914027149321267
events_warned,any,17,18,325,2652,0.12254901960784313
events_warned,any,18,19,321,2652,0.12104072398190045
events_warned,any,19,20,408,2652,0.15384615384615385
events_warned,any,20,21,338,2652,0.12745098039215685
events_warned,any,21,22,317,2652,0.11953242835595777
events_warned,any,22,23,368,2652,0.138763197586727
events_warned,any,23,24,640,2652,0.24132730015082957
events_warned,any,24,25,473,2652,0.17835595776772248
events_warned,any,25,26,457,2652,0.17232277526395173
events_warned,any,26,27,542,2652,0.20437405731523378
events_warned,any,27,28,515,2652,0.19419306184012067
events_warned,any,28,29,526,2652,0.19834087481146304
events_warned,any,29,30,468,2652,0.17647058823529413
events_warned,any,30,31,341,2652,0.12858220211161386
events_warned,any,31,32,360,2652,0.13574660633484162
events_warned,any,32,33,329,2652,0.12405731523378583
events_warned,any,33,34,329,2652,0.12405731523378583
events_warned,any,34,35,346,2652,0.13046757164404224
events_warned,any,35,36,411,2652,0.15497737556561086
events_warned,any,36,37,299,2652,0.11274509803921569
events_warned,any,37,38,252,2652,0.09502262443438914
events_warned,any,38,39,307,2652,0.11576168929110106
events_warned,any,39,40,355,2652,0.13386123680241327
events_warned,any,40,41,338,2652,0.12745098039215685
events_warned,any,41,42,311,2652,0.11726998491704374
events_warned,any,42,43,274,2652,0.1033182503770739
events_warned,any,43,44,264,2652,0.09954751131221719
events_warned,any,44,45,337,2652,0.12707390648567118
events_warned,any,45,46,326,2652,0.1229260935143288
events_warned,any,46,47,385,2652,0.14517345399698342
events_warned,any,47,48,334,2652,0.12594268476621417
events_warned,any,48,49,295,2652,0.111236802413273
events_warned,any,49,50,330,2652,0.1244343891402715
events_warned,any,50,51,426,2652,0.16063348416289594
events_warned,any,51,52,287,2652,0.10822021116138764
events_warned,any,52,53,333,2652,0.1255656108597285
events_warned,any,53,54,244,2652,0.09200603318250378
events_warned,any,54,55,265,2652,0.09992458521870287
events_warned,any,55,56,341,2652,0.12858220211161386
events_warned,any,56,57,222,2652,0.083710407239819
events_warned,any,57,58,224,2652,0.08446455505279035
events_warned,any,58,59,209,2652,0.07880844645550528
events_warned,any,59,60,232,2652,0.08748114630467571
events_warned,any,60,61,201,2652,0.0757918552036199
events_warned,any,61,62,182,2652,0.06862745098039216
events_warned,any,62,63,294,2652,0.11085972850678733
events_warned,any,63,64,287,2652,0.10822021116138764
events_warned,any,64,65,317,2652,0.11953242835595777
events_warned,any,65,66,508,2652,0.19155354449472098
events_warned,any,66,67,440,2652,0.16591251885369532
events_warned,any,67,68,387,2652,0.14592760180995476
events_warned,any,68,69,389,2652,0.1466817496229261
events_warned,any,69,70,442,2652,0.16666666666666666
events_warned,any,70,71,322,2652,0.12141779788838612
events_warned,any,71,72,359,2652,0.13536953242835595
controls_of_warned,any,0,1,11,2633,0.004177744018230156
controls_of_warned,any,1,2,16,2633,0.0060767185719711354
controls_of_warned,any,2,3,10,2633,0.0037979491074819596
controls_of_warned,any,3,4,6,2633,0.002278769464489176
controls_of_warned,any,4,5,11,2633,0.004177744018230156
controls_of_warned,any,5,6,23,2633,0.008735282947208508
controls_of_warned,any,6,7,11,2633,0.004177744018230156
controls_of_warned,any,7,8,17,2633,0.006456513482719331
controls_of_warned,any,8,9,14,2633,0.005317128750474744
controls_of_warned,any,9,10,15,2633,0.00569692366122294
controls_of_warned,any,10,11,6,2633,0.002278769464489176
controls_of_warned,any,11,12,3,2633,0.001139384732244588
controls_of_warned,any,12,13,28,2633,0.010634257500949488
controls_of_warned,any,13,14,18,2633,0.006836308393467528
controls_of_warned,any,14,15,28,2633,0.010634257500949488
controls_of_warned,any,15,16,10,2633,0.0037979491074819596
controls_of_warned,any,16,17,3,2633,0.001139384732244588
controls_of_warned,any,17,18,5,2633,0.0018989745537409798
controls_of_warned,any,18,19,14,2633,0.005317128750474744
controls_of_warned,any,19,20,5,2633,0.0018989745537409798
controls_of_warned,any,20,21,11,2633,0.004177744018230156
controls_of_warned,any,21,22,6,2633,0.002278769464489176
controls_of_warned,any,22,23,7,2633,0.002658564375237372
controls_of_warned,any,23,24,15,2633,0.00569692366122294
controls_of_warned,any,24,25,20,2633,0.007595898214963919
controls_of_warned,any,25,26,13,2633,0.004937333839726547
controls_of_warned,any,26,27,34,2633,0.012913026965438662
controls_of_warned,any,27,28,60,2633,0.02278769464489176
controls_of_warned,any,28,29,22,2633,0.008355488036460312
controls_of_warned,any,29,30,16,2633,0.0060767185719711354
controls_of_warned,any,30,31,18,2633,0.006836308393467528
controls_of_warned,any,31,32,21,2633,0.007975693125712115
controls_of_warned,any,32,33,39,2633,0.014812001519179644
controls_of_warned,any,33,34,42,2633,0.01595138625142423
