statistic,point,ci_lo,ci_hi,boot_mean,boot_sd,n_finite_reps,tier,rule,lookback_h,T_act_h,control_offset_d,reps,seed,n_turbines,n_events
E_enrichment_x,18.864538123941337,4.577288372223046,505.1724432402979,117.53540084582251,924.0806159171175,9978,T1,same,72,6,45,10000,20260827,20,4610
N_enrichment_x,31.354579805471975,13.461707534182208,99.60031280302613,37.83818239724855,25.553396859786496,9999,T1,same,72,6,45,10000,20260827,20,4610
recoverable_mwh_median,666.4309923935815,147.91801077563377,1529.5348347559611,662.6098595608798,363.9271856653586,10000,T1,same,72,6,45,10000,20260827,20,4610
recoverable_mwh_p75,639.2288003851877,131.75658787105243,1491.9542257664325,635.3527104656777,359.022183808439,10000,T1,same,72,6,45,10000,20260827,20,4610
recoverable_pct_of_tier_E,5.6920075809878785,1.3364683970621354,12.917246644045989,5.671942221425573,3.0446794771762478,10000,T1,same,72,6,45,10000,20260827,20,4610
E_total_mwh,11708.188770154778,8558.220222718855,15509.613045848595,11723.170359054884,1774.8491225310615,10000,T1,same,72,6,45,10000,20260827,20,4610
n_events,4610.0,3836.975,5472.0,4617.2964,416.8650301864852,10000,T1,same,72,6,45,10000,20260827,20,4610
E_unwarned,0.5487879728678436,0.4246767247642776,0.6756604525137636,0.5514376710518283,0.06496446675937935,10000,T0,any,72,6,45,10000,20260827,20,6050
E_short_lead,0.1103024296445081,0.06474421808884026,0.17139367199735786,0.11125007817850116,0.027357680143642423,10000,T0,any,72,6,45,10000,20260827,20,6050
E_actionable,0.34090959748764826,0.20764842682770543,0.4856682046164154,0.3373122507696706,0.07189748382141814,10000,T0,any,72,6,45,10000,20260827,20,6050
E_warned,0.4512120271321564,0.32433954748623645,0.5753232752357224,0.4485623289481718,0.06496446675937935,10000,T0,any,72,6,45,10000,20260827,20,6050
N_unwarned,0.3725619834710744,0.33215374641483714,0.4154057511592968,0.3730639455530582,0.02114376616251608,10000,T0,any,72,6,45,10000,20260827,20,6050
N_short_lead,0.23768595041322313,0.21142657542112536,0.26628295922036105,0.2382720573519903,0.013949950391323076,10000,T0,any,72,6,45,10000,20260827,20,6050
N_actionable,0.38975206611570246,0.3328546255070617,0.4450664368316758,0.38866399709495153,0.028575750501249105,10000,T0,any,72,6,45,10000,20260827,20,6050
N_warned,0.6274380165289256,0.5845942488407032,0.6678462535851629,0.6269360544469418,0.02114376616251608,10000,T0,any,72,6,45,10000,20260827,20,6050
E_control_warned,0.1371864284253685,0.08247364640392964,0.20582049284800327,0.13767999117330018,0.03158804618576092,10000,T0,any,72,6,45,10000,20260827,20,6050
N_control_warned,0.17240232751454695,0.1422516762633927,0.20550457281210485,0.17289485940778776,0.016193793603073103,10000,T0,any,72,6,45,10000,20260827,20,6050
E_excess_warned,0.36395533062106616,0.20416155647634937,0.516865558822266,0.3594309035029393,0.08063109274530043,10000,T0,any,72,6,45,10000,20260827,20,6050
E_excess_actionable,0.23866629680524376,0.061888978382810586,0.4168810381568392,0.23272167469058927,0.0909835093265909,10000,T0,any,72,6,45,10000,20260827,20,6050
N_excess_warned,0.5498271734474663,0.4952295773015219,0.5989458532598235,0.5488119248226377,0.026524989599072214,10000,T0,any,72,6,45,10000,20260827,20,6050
N_excess_actionable,0.2725641453995145,0.19971392079247496,0.3397029194125234,0.2707036104262475,0.03539557319094098,10000,T0,any,72,6,45,10000,20260827,20,6050
E_enrichment_x,3.2890427450527486,1.914953320647571,5.840557973638849,3.4453522664297633,0.9992839047417816,10000,T0,any,72,6,45,10000,20260827,20,6050
N_enrichment_x,3.6393825163177316,3.0419992375310168,4.455154080301304,3.657784049392148,0.36388852808844047,10000,T0,any,72,6,45,10000,20260827,20,6050
recoverable_mwh_median,3675.3470915025287,1763.3529187335462,6541.806940911255,3685.090254419874,1236.1503053721342,10000,T0,any,72,6,45,10000,20260827,20,6050
recoverable_mwh_p75,3430.964083900183,1549.895200598704,6255.756966317959,3440.6222433576672,1220.2798424988728,10000,T0,any,72,6,45,10000,20260827,20,6050
recoverable_pct_of_tier_E,30.37539530493844,17.00155415913459,45.141093554776226,29.958410083473318,7.286693424789423,10000,T0,any,72,6,45,10000,20260827,20,6050
E_total_mwh,12099.750652150327,8964.431066617764,15955.548368661208,12129.482315317146,1778.162655448223,10000,T0,any,72,6,45,10000,20260827,20,6050
n_events,6050.0,5078.975,7072.025,6059.7542,509.25419621834885,10000,T0,any,72,6,45,10000,20260827,20,6050
E_unwarned,0.5550557752144072,0.4254275311061487,0.6854070002885727,0.5565804042434443,0.06687009836308641,10000,T1,any,72,6,45,10000,20260827,20,4610
E_short_lead,0.11351975790384104,0.06574931463720407,0.17756701601219935,0.11461688599896472,0.028492772601182548,10000,T1,any,72,6,45,10000,20260827,20,4610
E_actionable,0.3314244668817519,0.19241207471467314,0.4826169283912425,0.32880270975759096,0.07511521897089544,10000,T1,any,72,6,45,10000,20260827,20,4610
E_warned,0.444944224785593,0.31459299971142723,0.5745724688938513,0.44341959575655565,0.06687009836308641,10000,T1,any,72,6,45,10000,20260827,20,4610
N_unwarned,0.39349240780911066,0.33942766844752703,0.45168732931497646,0.3938613565747878,0.028659137209600588,10000,T1,any,72,6,45,10000,20260827,20,4610
N_short_lead,0.1841648590021692,0.16030181454663275,0.21037767660270063,0.18478419455816106,0.012838638434665614,10000,T1,any,72,6,45,10000,20260827,20,4610
N_actionable,0.4223427331887202,0.35226800738191927,0.4880186757801712,0.4213544488670512,0.034716645179581646,10000,T1,any,72,6,45,10000,20260827,20,4610
N_warned,0.6065075921908893,0.5483126706850237,0.660572331552473,0.6061386434252121,0.02865913720960059,10000,T1,any,72,6,45,10000,20260827,20,4610
E_control_warned,0.1393858256812832,0.0819554315483278,0.20961034146987975,0.13948808479025074,0.0321966208022777,10000,T1,any,72,6,45,10000,20260827,20,4610
N_control_warned,0.1863666156871313,0.15058667412229404,0.22526677828476216,0.18669451017879027,0.019163882637103162,10000,T1,any,72,6,45,10000,20260827,20,4610
E_excess_warned,0.3550469051316722,0.1917948179144992,0.5169578327851417,0.352049100812937,0.08311950608541024,10000,T1,any,72,6,45,10000,20260827,20,4610
E_excess_actionable,0.22481637611981883,0.04076144399626495,0.4119353139776943,0.22021720532180608,0.09541185672453739,10000,T1,any,72,6,45,10000,20260827,20,4610
N_excess_warned,0.5163762753645812,0.44519557917433317,0.582480780133227,0.5155832803377894,0.03537771745091395,10000,T1,any,72,6,45,10000,20260827,20,4610
N_excess_actionable,0.30054568513353763,0.2150106174797414,0.3820495373720312,0.29893943418813185,0.04287068426830923,10000,T1,any,72,6,45,10000,20260827,20,4610
E_enrichment_x,3.1921769850758963,1.8657851763653643,5.819542215763465,3.3668203210230336,1.0058586028855792,10000,T1,any,72,6,45,10000,20260827,20,4610
N_enrichment_x,3.2543789559879257,2.6758925929940625,4.055924151908316,3.2792313924927163,0.357017070361972,10000,T1,any,72,6,45,10000,20260827,20,4610
recoverable_mwh_median,3477.7494598834046,1573.400284153849,6422.829728119054,3500.2917602244684,1248.6925612441694,10000,T1,any,72,6,45,10000,20260827,20,4610
recoverable_mwh_p75,3254.1869834254694,1377.8636867512062,6160.197007952839,3276.3196632433132,1232.2817955227404,10000,T1,any,72,6,45,10000,20260827,20,4610
recoverable_pct_of_tier_E,29.703564984777998,15.76049813082463,44.98288553376461,29.371898559098824,7.587219976555303,10000,T1,any,72,6,45,10000,20260827,20,4610
E_total_mwh,11708.188770154778,8558.220222718855,15509.613045848595,11723.170359054884,1774.8491225310615,10000,T1,any,72,6,45,10000,20260827,20,4610
n_events,4610.0,3836.975,5472.0,4617.2964,416.8650301864852,10000,T1,any,72,6,45,10000,20260827,20,4610
E_unwarned,0.8377688963408324,0.7291157260419806,0.9241419209171642,0.8371280491772716,0.050279102478247406,10000,T2,same,72,1,45,10000,20260827,20,4213
E_short_lead,0.04122866242492496,0.008488390375381665,0.09261950947160703,0.04192973493538398,0.021894780048762028,10000,T2,same,72,1,45,10000,20260827,20,4213
E_actionable,0.12100244123424282,0.044008204465710916,0.22611815422159748,0.12094221588734444,0.047173106777804515,10000,T2,same,72,1,45,10000,20260827,20,4213
E_warned,0.16223110365916776,0.07585807908283598,0.2708842739580194,0.16287195082272843,0.05027910247824741,10000,T2,same,72,1,45,10000,20260827,20,4213
N_unwarned,0.7676240208877284,0.6894228256575592,0.852441769448142,0.7698969773112924,0.04148068817332075,10000,T2,same,72,1,45,10000,20260827,20,4213
N_short_lead,0.04462378352717778,0.031492529647212185,0.058580119366568026,0.04462779352345124,0.006964787993666396,10000,T2,same,72,1,45,10000,20260827,20,4213
N_actionable,0.18775219558509376,0.10830161295587531,0.26079846993064904,0.1854752291652564,0.03884589963925462,10000,T2,same,72,1,45,10000,20260827,20,4213
N_warned,0.23237597911227154,0.14755823055185802,0.3105771743424409,0.23010302268870764,0.04148068817332075,10000,T2,same,72,1,45,10000,20260827,20,4213
E_control_warned,0.008649271393744938,0.0003048435045697428,0.028095365830959278,0.008887747932183148,0.007713224892729469,10000,T2,same,72,1,45,10000,20260827,20,4213
N_control_warned,0.007416267942583732,0.002707559019585548,0.013576001356129217,0.0075083975057107935,0.0028097630629885604,10000,T2,same,72,1,45,10000,20260827,20,4213
E_excess_warned,0.15492179289699448,0.06650685320334608,0.2655462445638124,0.15530598053852968,0.0512649205950451,10000,T2,same,72,1,45,10000,20260827,20,4213
E_excess_actionable,0.1134426003642914,0.03558053306389925,0.22031298280993364,0.11311795566991091,0.047972080558243556,10000,T2,same,72,1,45,10000,20260827,20,4213
N_excess_warned,0.22664053812708967,0.14020731397552325,0.3064952527894407,0.22423587168913417,0.04251873413594954,10000,T2,same,72,1,45,10000,20260827,20,4213
N_excess_actionable,0.18188052470980526,0.10080238696334064,0.25724329309122296,0.17946609346199152,0.03998389721427984,10000,T2,same,72,1,45,10000,20260827,20,4213
E_enrichment_x,18.75662079195383,4.582261801505206,541.2072349302687,122.73039303823245,927.5396662449783,9988,T2,same,72,1,45,10000,20260827,20,4213
N_enrichment_x,31.333277183525645,13.482560684265096,97.72666703442188,37.36898002147143,24.96336755587472,10000,T2,same,72,1,45,10000,20260827,20,4213
recoverable_mwh_median,1082.222394678301,345.42445470188414,2118.6386398748514,1077.6898119574607,461.39992562181857,10000,T2,same,72,1,45,10000,20260827,20,4213
recoverable_mwh_p75,1044.0489322651483,318.76263379850377,2073.0263002437027,1039.628650791065,456.0224982782339,10000,T2,same,72,1,45,10000,20260827,20,4213
recoverable_pct_of_tier_E,11.529560666249749,3.9087219507709836,21.963341990097682,11.517041096038644,4.679512986475155,10000,T2,same,72,1,45,10000,20260827,20,4213
E_total_mwh,9386.501584975991,6730.385662798183,12649.510694430639,9398.039808507048,1516.9763787835234,10000,T2,same,72,1,45,10000,20260827,20,4213
n_events,4213.0,3442.975,5032.025,4214.7404,407.2815459035719,10000,T2,same,72,1,45,10000,20260827,20,4213
E_unwarned,0.8377688963408324,0.7291157260419806,0.9241419209171642,0.8371280491772716,0.050279102478247406,10000,T2,same,72,24,45,10000,20260827,20,4213
E_short_lead,0.12966802526164242,0.050989426363636445,0.2326835355012393,0.13026546867500635,0.046562462361769426,10000,T2,same,72,24,45,10000,20260827,20,4213
E_actionable,0.03256307839752532,0.006428211983530307,0.08670353735917956,0.03260648214772206,0.02125422271640494,10000,T2,same,72,24,45,10000,20260827,20,4213
E_warned,0.16223110365916776,0.07585807908283598,0.2708842739580194,0.16287195082272843,0.05027910247824741,10000,T2,same,72,24,45,10000,20260827,20,4213
N_unwarned,0.7676240208877284,0.6894228256575592,0.852441769448142,0.7698969773112924,0.04148068817332075,10000,T2,same,72,24,45,10000,20260827,20,4213
N_short_lead,0.089959648706385,0.06611367768130494,0.11556249454894323,0.0899217658217321,0.012696994757026838,10000,T2,same,72,24,45,10000,20260827,20,4213
N_actionable,0.14241633040588655,0.06867531173539003,0.21141137270940585,0.14018125686697552,0.03633301855198799,10000,T2,same,72,24,45,10000,20260827,20,4213
N_warned,0.23237597911227154,0.14755823055185802,0.3105771743424409,0.23010302268870764,0.04148068817332075,10000,T2,same,72,24,45,10000,20260827,20,4213
E_control_warned,0.008649271393744938,0.0003048435045697428,0.028095365830959278,0.008887747932183148,0.007713224892729469,10000,T2,same,72,24,45,10000,20260827,20,4213
N_control_warned,0.007416267942583732,0.002707559019585548,0.013576001356129217,0.0075083975057107935,0.0028097630629885604,10000,T2,same,72,24,45,10000,20260827,20,4213
E_excess_warned,0.15492179289699448,0.06650685320334608,0.2655462445638124,0.15530598053852968,0.0512649205950451,10000,T2,same,72,24,45,10000,20260827,20,4213
E_excess_actionable,0.024704693739190278,-0.009903963844086178,0.0811895265358041,0.024481458978736687,0.02288897120043379,10000,T2,same,72,24,45,10000,20260827,20,4213
N_excess_warned,0.22664053812708967,0.14020731397552325,0.3064952527894407,0.22423587168913417,0.04251873413594954,10000,T2,same,72,24,45,10000,20260827,20,4213
N_excess_actionable,0.13725638052866565,0.06133069248684365,0.2082472601160442,0.13489482179260276,0.03731040694548794,10000,T2,same,72,24,45,10000,20260827,20,4213
E_enrichment_x,18.75662079195383,4.582261801505206,541.2072349302687,122.73039303823245,927.5396662449783,9988,T2,same,72,24,45,10000,20260827,20,4213
N_enrichment_x,31.333277183525645,13.482560684265096,97.72666703442188,37.36898002147143,24.96336755587472,10000,T2,same,72,24,45,10000,20260827,20,4213
recoverable_mwh_median,277.113168519776,35.52761051745991,771.9236727748729,275.49005049107797,195.831393453995,10000,T2,same,72,24,45,10000,20260827,20,4213
recoverable_mwh_p75,262.8531255327606,27.908293899218332,753.0431132374342,261.3303967014532,193.25086706727862,10000,T2,same,72,24,45,10000,20260827,20,4213
recoverable_pct_of_tier_E,2.952251869464579,0.40710383795339544,8.310654096928761,2.952865552563867,2.091960256772323,10000,T2,same,72,24,45,10000,20260827,20,4213
E_total_mwh,9386.501584975991,6730.385662798183,12649.510694430639,9398.039808507048,1516.9763787835234,10000,T2,same,72,24,45,10000,20260827,20,4213
n_events,4213.0,3442.975,5032.025,4214.7404,407.2815459035719,10000,T2,same,72,24,45,10000,20260827,20,4213
