analysis,scope,n_events,E_mwh,n_turbines,n_blocks,point_pct,ci_lo_pct,ci_hi_pct,boot_mean_pct,boot_sd_pp,reps,seed,n_finite_reps,note
block_detail,penmanshiel_WT10_2020,23,13.713980652978476,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT10_2021,9,0.5138636922703249,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT10_2022,8,30.133896747710768,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT10_2023,17,512.786212881834,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT11_2016,14,1.7076360725625352,,,,,,,,,,,1 actionable events / 0.1 MWh actionable
block_detail,penmanshiel_WT11_2017,21,69.60514448750337,,,,,,,,,,,2 actionable events / 42.9 MWh actionable
block_detail,penmanshiel_WT11_2018,12,43.43271178070013,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT11_2019,28,3.049898236692046,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT11_2020,59,47.15533084754081,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT11_2021,67,116.46969149522474,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT11_2022,118,706.4562153419887,,,,,,,,,,,39 actionable events / 0.3 MWh actionable
block_detail,penmanshiel_WT11_2023,18,59.28275636624901,,,,,,,,,,,4 actionable events / 22.5 MWh actionable
block_detail,penmanshiel_WT11_2024,20,59.09005331926028,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT12_2016,13,2.140530102914175,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT12_2017,5,5.0041439712905875,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT12_2018,26,21.208219077991647,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT12_2019,33,29.542549295437126,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT12_2020,28,37.22251298924714,,,,,,,,,,,4 actionable events / 8.3 MWh actionable
block_detail,penmanshiel_WT12_2021,152,5.786203081062058,,,,,,,,,,,137 actionable events / 1.1 MWh actionable
block_detail,penmanshiel_WT12_2022,57,54.90774265540238,,,,,,,,,,,7 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT12_2023,52,87.07070741970621,,,,,,,,,,,3 actionable events / 0.8 MWh actionable
block_detail,penmanshiel_WT12_2024,49,197.60981757468022,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT13_2016,17,2.453118501386642,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT13_2017,22,56.00499920648895,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT13_2018,18,9.279568611136915,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT13_2019,18,9.56030155887455,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT13_2020,47,51.751847099352325,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT13_2021,25,93.47537976895592,,,,,,,,,,,14 actionable events / 26.8 MWh actionable
block_detail,penmanshiel_WT13_2022,23,130.81416130533518,,,,,,,,,,,1 actionable events / 21.7 MWh actionable
block_detail,penmanshiel_WT13_2023,17,36.6093896683972,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT13_2024,6,9.596619098479575,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT14_2016,17,2.9641727590258915,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT14_2017,11,0.8901589798355105,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT14_2018,20,11.558733994195586,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT14_2019,13,31.049480393243332,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT14_2020,21,55.60880391037402,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT14_2021,5,44.67622923830868,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT14_2022,20,47.37394425047489,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT14_2023,29,1.1800105655432747,,,,,,,,,,,10 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT14_2024,4,37.288741831184396,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT15_2016,24,2.001457795769375,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT15_2017,7,6.734476403654419,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT15_2018,22,4.980730471341197,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT15_2019,5,9.65777006130082,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT15_2020,50,30.666991899785298,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT15_2021,38,51.64072937312818,,,,,,,,,,,13 actionable events / 2.6 MWh actionable
block_detail,penmanshiel_WT15_2022,33,65.76994513852105,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,penmanshiel_WT15_2023,42,80.8764251307338,,,,,,,,,,,1 actionable events / 8.0 MWh actionable
block_detail,penmanshiel_WT15_2024,61,187.98594956899146,,,,,,,,,,,10 actionable events / 55.4 MWh actionable
