population,tier,tier_variant,sub_pop,rule,lookback_h,T_act_h,weight,control_offset_d,n_events,E_mwh,unwarned,short_lead,actionable_unacted,warned,n_controls_matched,p_control_warned,p_control_actionable,excess_warned,excess_actionable,enrichment_warned_x
manual_only,manual,reported_separately,manual_only,any,72,6,energy,45,397,2321.6871851787873,0.6602960953157924,0.05634975865751992,0.2833541460266879,0.33970390468420786,397,0.037890463971475705,0.03548754897245234,0.3136996666290023,0.2569864150433411,8.965419503438651
manual_only,manual,reported_separately,manual_only,any,72,6,count,45,397,2321.6871851787873,0.6372795969773299,0.05037783375314862,0.3123425692695214,0.36272040302267,397,0.19899244332493704,0.1889168765743073,0.2044025157232704,0.15217391304347827,1.822784810126582
per_family,T2,primary,anemometry,same,72,6,energy,45,853,395.2717088257755,0.16020800607977229,0.5001287842031479,0.33966320971707975,0.8397919939202276,847,0.0,0.0,0.8397919939202276,0.33966320971707975,
per_family,T2,primary,anemometry,same,72,6,count,45,853,395.2717088257755,0.0023446658851113715,0.2731535756154748,0.7245017584994138,0.9976553341148886,847,0.0,0.0,0.9976553341148886,0.7245017584994138,
per_family,T2,primary,brake_hydraulic,same,72,6,energy,45,30,217.5347389966022,0.3243921447424019,0.00969990947135666,0.6659079457862414,0.6756078552575981,30,0.133740671784971,0.133740671784971,0.6255253661616226,0.61432790005024,5.051626003074399
per_family,T2,primary,brake_hydraulic,same,72,6,count,45,30,217.5347389966022,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,30,0.16666666666666666,0.16666666666666666,-0.03999999999999999,-0.11999999999999998,0.8
per_family,T2,primary,control,same,72,6,energy,45,236,659.3709661954226,0.6095928220266678,0.0,0.3904071779733323,0.3904071779733323,235,0.0,0.0,0.3904071779733323,0.3904071779733323,
per_family,T2,primary,control,same,72,6,count,45,236,659.3709661954226,0.9872881355932204,0.0,0.012711864406779662,0.012711864406779662,235,0.0,0.0,0.012711864406779662,0.012711864406779662,
per_family,T2,primary,converter,same,72,6,energy,45,977,1741.3485003248225,1.0,0.0,0.0,0.0,973,0.0,0.0,0.0,0.0,
per_family,T2,primary,converter,same,72,6,count,45,977,1741.3485003248225,1.0,0.0,0.0,0.0,973,0.0,0.0,0.0,0.0,
per_family,T2,primary,drivetrain,same,72,6,energy,45,494,1009.6953479997076,0.811713923406952,0.1686567243685674,0.01962935222448045,0.18828607659304789,486,0.00021014377091153148,0.00021014377091153148,0.1881154641151323,0.01942329013700182,895.9869511065094
per_family,T2,primary,drivetrain,same,72,6,count,45,494,1009.6953479997076,0.9331983805668016,0.02834008097165992,0.038461538461538464,0.06680161943319839,486,0.012345679012345678,0.012345679012345678,0.05513663967611337,0.026442307692307696,5.41093117408907
per_family,T2,primary,electrical,same,72,6,energy,45,8,673.4283897637196,0.996975052724744,0.0022112195956275043,0.0008137276796286818,0.003024947275256186,8,0.0,0.0,0.003024947275256186,0.0008137276796286818,
per_family,T2,primary,electrical,same,72,6,count,45,8,673.4283897637196,0.75,0.125,0.125,0.25,8,0.0,0.0,0.25,0.125,
per_family,T2,primary,external,same,72,6,energy,45,19,15.31417527966697,1.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,
per_family,T2,primary,external,same,72,6,count,45,19,15.31417527966697,1.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,
per_family,T2,primary,generator,same,72,6,energy,45,52,843.1274228990599,0.9756660959108826,0.0,0.024333904089117432,0.024333904089117432,46,0.001553558370328173,0.00011110722584419063,0.022815791382467154,0.024225488490094097,15.663334287193308
per_family,T2,primary,generator,same,72,6,count,45,52,843.1274228990599,0.9807692307692307,0.0,0.019230769230769232,0.019230769230769232,46,0.08695652173913043,0.06521739130434782,-0.07417582417582416,-0.04919499105545617,0.22115384615384617
per_family,T2,primary,pitch,same,72,6,energy,45,307,2254.895881278323,0.7582158939601279,0.19249390757520904,0.04929019846466289,0.24178410603987194,307,0.019478679087374835,0.019478679087374835,0.22672166551726303,0.030403744152693014,12.41275678680825
per_family,T2,primary,pitch,same,72,6,count,45,307,2254.895881278323,0.8501628664495114,0.06840390879478828,0.08143322475570032,0.1498371335504886,307,0.013029315960912053,0.009771986970684038,0.13861386138613863,0.07236842105263157,11.5
per_family,T2,primary,safety,same,72,6,energy,45,60,481.4906448454558,1.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,
per_family,T2,primary,safety,same,72,6,count,45,60,481.4906448454558,1.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,
