population,tier,tier_variant,sub_pop,rule,lookback_h,T_act_h,weight,control_offset_d,n_events,E_mwh,unwarned,short_lead,actionable_unacted,warned,n_controls_matched,p_control_warned,p_control_actionable,excess_warned,excess_actionable,enrichment_warned_x
all,T1_narrow,sensitivity,all,same,72,6,energy,30,4635,11957.333359697524,0.8726486528541759,0.0682552487429706,0.059096098402853486,0.12735134714582408,4568,0.0037582068151413165,0.0034991958636902518,0.12405938114237425,0.055792130130141095,33.886199831457496
all,T1_narrow,sensitivity,all,same,72,6,count,30,4635,11957.333359697524,0.7887810140237325,0.060625674217907224,0.1505933117583603,0.21121898597626754,4568,0.016418563922942206,0.016199649737302976,0.198052154003915,0.13660664176951265,12.864644372527868
all,T1_narrow,sensitivity,all,same,72,6,energy,60,4635,11957.333359697524,0.8726486528541759,0.0682552487429706,0.059096098402853486,0.12735134714582408,4596,0.016323460603954995,0.01625261521237006,0.11287032077641872,0.04355130580574038,7.801737035770972
all,T1_narrow,sensitivity,all,same,72,6,count,60,4635,11957.333359697524,0.7887810140237325,0.060625674217907224,0.1505933117583603,0.21121898597626754,4596,0.005004351610095736,0.004351610095735422,0.20725179522128265,0.14688086993912236,42.207063458561976
all,T2_narrow,sensitivity,all,same,24,6,energy,45,4238,9635.646174518737,0.8575298520758483,0.08751491077968088,0.0549552371444707,0.1424701479241516,4205,0.0005760952272255909,0.00045725682144866404,0.14197584430321042,0.05452291129613744,247.30312141322824
all,T2_narrow,sensitivity,all,same,24,6,count,45,4238,9635.646174518737,0.7770174610665408,0.11680037753657385,0.10618216139688533,0.22298253893345918,4205,0.001426872770511296,0.0009512485136741974,0.22187224963448343,0.1053311089440378,156.27359603586598
all,T2_narrow,sensitivity,all,same,48,6,energy,45,4238,9635.646174518737,0.8560076479893445,0.08518221616314257,0.058810135847512914,0.1439923520106555,4205,0.0009587678883218368,0.00083992948254491,0.14317085173752328,0.058018938181692764,150.18478796019136
all,T2_narrow,sensitivity,all,same,48,6,count,45,4238,9635.646174518737,0.771354412458707,0.08329400660689004,0.145351580934403,0.22864558754129305,4205,0.0030915576694411414,0.002615933412604043,0.2262535056324278,0.14311001378854665,73.95805350854903
all,T2_narrow,sensitivity,all,same,72,1,energy,45,4238,9635.646174518737,0.8419636333621144,0.04016263135744781,0.11787373528043776,0.15803636663788553,4205,0.008419314650318033,0.008300476244541107,0.1508874206588694,0.11049038182548941,18.770692532784224
all,T2_narrow,sensitivity,all,same,72,1,count,45,4238,9635.646174518737,0.7689948088721095,0.04436054742803209,0.18664464369985842,0.2310051911278905,4205,0.007372175980975029,0.007134363852556481,0.22529392158427877,0.18080017407374963,31.334736409444503
all,T2_narrow,sensitivity,all,same,72,6,energy,45,4238,9635.646174518737,0.8419636333621144,0.08470119678398616,0.0733351698538994,0.15803636663788553,4205,0.008419314650318033,0.008300476244541105,0.1508874206588694,0.0655790307966257,18.770692532784224
all,T2_narrow,sensitivity,all,same,72,6,count,45,4238,9635.646174518737,0.7689948088721095,0.06630486078338839,0.16470033034450213,0.2310051911278905,4205,0.007372175980975029,0.006896551724137931,0.22529392158427877,0.15889963819411673,31.334736409444503
all,T2_narrow,sensitivity,all,same,72,24,energy,45,4238,9635.646174518737,0.8419636333621144,0.12631525718096476,0.03172110945692078,0.15803636663788553,4205,0.008419314650318033,0.007843219423092442,0.1508874206588694,0.024066650050956775,18.770692532784224
all,T2_narrow,sensitivity,all,same,72,24,count,45,4238,9635.646174518737,0.7689948088721095,0.08942897593204342,0.1415762151958471,0.2310051911278905,4205,0.007372175980975029,0.005945303210463734,0.22529392158427877,0.1364421016503677,31.334736409444503
all,T2_narrow,sensitivity,all,any,72,6,energy,45,4238,9635.646174518737,0.5235108965459654,0.12435951055220318,0.35212959290183143,0.47648910345403456,4205,0.16245471075324822,0.1594272074590571,0.3749461631898305,0.22925127621637614,2.933058088895753
all,T2_narrow,sensitivity,all,any,72,6,count,45,4238,9635.646174518737,0.3730533270410571,0.19561113732892874,0.43133553563001414,0.6269466729589429,4205,0.1850178359096314,0.1724137931034483,0.5422558388655836,0.31286377221960043,3.388574241378348
all,T2_narrow,sensitivity,all,same,72,6,energy,30,4238,9635.646174518737,0.8419636333621144,0.08470119678398616,0.0733351698538994,0.15803636663788553,4177,0.004673049436772176,0.004350988666747546,0.1540833563426865,0.06928564223126843,33.81868066584082
all,T2_narrow,sensitivity,all,same,72,6,count,30,4238,9635.646174518737,0.7689948088721095,0.06630486078338839,0.16470033034450213,0.2310051911278905,4177,0.017955470433325352,0.017716064160881013,0.21694507151175005,0.14963521322178538,12.865449111215982
all,T2_narrow,sensitivity,all,same,72,6,energy,60,4238,9635.646174518737,0.8419636333621144,0.08470119678398616,0.0733351698538994,0.15803636663788553,4199,0.020549343269844478,0.020460157140377994,0.14037156688120894,0.05397944054951416,7.6905799159917185
all,T2_narrow,sensitivity,all,same,72,6,count,60,4238,9635.646174518737,0.7689948088721095,0.06630486078338839,0.16470033034450213,0.2310051911278905,4199,0.005477494641581329,0.004763038818766373,0.22676982699856613,0.16070272484244183,42.17351293678314
per_farm,T0,primary,kelmarsh,same,72,6,energy,45,1202,2516.2846067996215,0.9180047338720566,0.05956763177722627,0.022427634350717193,0.08199526612794346,1201,0.011712764877720019,0.011712764877720019,0.07111545991133583,0.010841857601926259,7.000504747082781
